,code,stock_name
672,US.DRRX,DURECT Corp.
673,US.DRWI,DragonWave Inc
674,US.DRYS,"DryShips, Inc."
675,US.DSGX,"The Descartes Systems Group, Inc."
676,US.DSPG,"DSP Group, Inc."
677,US.DSWL,香港德卫集团
678,US.DTEA,DAVIDSTEA INC.
679,US.DTRM,"Determine, Inc."
680,US.DVAX,德纳维制药
681,US.DVCR,"Diversicare Healthcare Services, Inc."
682,US.DWCH,数据观察
683,US.DWSN,道森地探
684,US.DXCM,德康医疗
685,US.DXLG,"Destination XL Group, Inc."
686,US.DXPE,"DXP Enterprises, Inc."
687,US.DXTR,Dextera Surgical Inc.
688,US.DXYN,迪克希
689,US.DYNT,Dynatronics Corp.
690,US.DYSL,Dynasil Corp. of America
691,US.DZSI,"DASAN Zhone Solutions, Inc."
