,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
295,600379,宝光股份,0.15,31.62,,7.98,,3614.45,31.64,10派0.46,04-29
296,300056,三维丝,0.6,185.71,,16.78,,22061.48,220.32,,04-29
297,002055,得润电子,0.09,-55.84,,2.17,,3867.56,-54.6,10派0.2,04-29
298,002504,弘高创意,0.23,-64.62,,23.81,,23976.34,-11.2,,04-29
299,600247,*ST成城,-0.64,-829.41,,-245.32,,-21447.7,-829.17,,04-29
300,600690,青岛海尔,0.83,17.16,,20.41,,503665.22,17.11,10派2.48,04-29
301,000518,四环生物,0.0,-105.95,,0.73,,447.29,-106.01,,04-29
302,002072,凯瑞德,0.08,-113.62,,16.19,,1435.64,-113.56,,04-29
303,600193,*ST创兴,-0.3,-300.0,,-39.86,,-12790.88,-298.72,,04-29
304,600587,新华医疗,0.09,-86.96,,1.07,,3463.63,-87.67,10派0.45,04-29
305,600985,雷鸣科化,0.34,-22.73,,7.86,,9006.22,-22.51,,04-29
