,code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0,name_y,eps_2015q1,eps_yoy_2015q1,bvps_2015q1,roe_2015q1,epcf_2015q1,net_profits_2015q1,profits_yoy_2015q1,distrib_2015q1,report_date_2015q1
76,600889,南京化纤,化纤,江苏,0.0,3.07,3.66,181293.05,70121.13,82963.68,22740.7,0.62,-0.06,3.65,2.16,19960308,35921.6,0.98,-14.76,-191.75,4.78,-6.05,27152.0,413,南京化纤,-0.01,-88.46,,-0.19,,-177.05,-88.84,,04-30
77,2677,浙江美大,家用电器,浙江,56.22,2.83,6.46,170660.59,103036.25,34467.03,9948.21,0.15,0.09,2.12,10.12,20120525,52957.86,0.82,53.15,49.74,54.57,28.05,15056.0,2140,浙江美大,0.13,18.18,,2.54,,2540.95,11.84,,04-24
78,788,北大医药,化学制药,重庆,90.49,5.59,5.96,213618.16,190321.3,15707.05,19917.28,0.33,0.025,2.0,4.44,19970616,35743.05,0.6,13.93,109.91,39.36,2.79,32043.0,1182,北大医药,-0.14,-450.0,,-8.07,,-8615.56,-494.65,,04-28
79,603901,永创智能,专用机械,浙江,64.96,1.54,4.0,232263.52,165838.31,29273.84,16188.27,0.4,0.035,2.4,3.8,20150529,35550.12,0.89,21.56,-18.14,32.28,4.65,26057.0,196,永创智能,0.19,18.75,5.34,3.5,-0.94,1428.99,17.87,,05-28
80,601866,中远海发,水运,上海,32.47,79.32,116.83,13524560.0,3563073.5,5281371.5,-1451.6,0.0,0.024,1.36,2.3,20071212,457848.31,0.39,-2.43,-19.23,25.69,7.71,372579.0,1246,中远海发,0.02,301.89,,1.0,,24899.86,305.58,,04-28
81,2215,诺 普 信,农药化肥,深圳,11.65,7.25,9.14,454773.25,297755.44,30229.46,30034.55,0.33,0.175,2.29,3.56,20080218,76936.18,0.84,20.32,40.36,33.85,15.48,46670.0,2864,诺普信,0.12,-7.69,,5.23,,8295.22,22.26,,04-16
82,2086,东方海洋,渔业,山东,561.09,4.76,7.56,407519.47,187158.81,136313.92,157932.47,2.09,0.004,4.32,2.05,20061128,62763.6,0.83,8.4,12.73,22.98,1.97,28832.0,1616,东方海洋,0.01,25.49,,0.11,,156.66,24.8,,04-27
83,600500,中化国际,商贸代理,上海,13.41,20.83,20.83,5729942.0,3726894.75,652706.69,344968.16,1.66,0.153,5.34,1.54,20000301,539432.25,2.59,-17.35,-2.23,14.27,2.26,72013.0,345,中化国际,0.06,-33.33,,1.11,,12162.05,-34.34,,04-30
84,300352,北信源,软件服务,北京,1561.62,10.44,14.5,249266.77,200961.0,7800.07,31587.77,0.22,0.001,1.53,3.46,20120912,39765.85,0.27,38.85,48.81,84.64,1.42,76039.0,2176,北信源,0.0,-45.0,2.63,0.04,-0.06,28.84,9.37,,04-24
85,2480,新筑股份,机械基件,四川,255.03,6.41,6.54,581697.0,330396.78,156007.94,148156.31,2.27,0.008,3.58,2.19,20100921,17371.39,0.27,214.04,111.38,23.39,1.3,31719.0,1317,新筑股份,-0.06,-53.62,,-1.59,,-3890.54,10.59,,04-28
86,2696,百洋股份,渔业,广西,102.32,1.04,2.33,347116.53,158464.27,71744.11,149409.38,6.43,0.058,9.52,2.49,20120905,45970.3,1.98,29.03,1629.72,23.93,2.66,8782.0,2528,百洋股份,-0.07,-240.0,,-1.24,,-1173.97,-357.75,,04-22
87,968,蓝焰控股,煤炭开采,山西,27.17,5.14,9.68,711588.19,298327.31,317875.16,97557.36,1.01,0.113,3.38,3.64,20000622,106917.61,1.11,-4.64,46.24,40.02,31.62,27665.0,1889,蓝焰控股,-0.42,223.36,,-12.59,,-21831.18,223.43,,04-25
88,600426,华鲁恒升,农药化肥,山东,11.67,16.15,16.2,1683858.0,293667.78,1049401.63,201286.95,1.24,0.453,6.19,3.42,20020620,567200.69,3.5,39.83,133.91,30.14,21.35,41120.0,509,华鲁恒升,0.26,25.37,,3.64,,24536.37,25.6,,04-30
89,300462,华铭智能,专用机械,上海,34.43,0.56,1.38,82432.2,70815.61,6979.53,19802.05,1.44,0.2,4.47,6.17,20150527,24769.13,1.8,15.97,475.38,44.56,33.84,13775.0,112,华铭智能,0.03,,,1.51,,378.97,,,04-25
