,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
181,002253,川大智胜,5.6538,4.5796,235.9557,-1093.7599,88.7158,11.2842
182,002351,漫步者,7.0466,5.4847,70.539,-4508.5087,88.6941,11.3059
183,603168,莎普爱思,4.5134,4.0399,206.6772,-6265.7538,88.6528,11.3472
184,603032,德新交运,12.0846,12.0369,245.9174,-919.8207,88.5997,11.4003
185,002222,福晶科技,5.0768,3.6258,193.9613,5067.1922,88.5574,11.4426
186,002261,拓维信息,4.3236,3.8119,162.7192,-746.3263,88.5178,11.4822
187,000813,德展健康,7.7221,7.3194,334.6849,-12095.9276,88.4497,11.5503
188,603139,康惠制药,8.4791,7.7084,225.1644,-13918.7638,88.3993,11.6007
189,600276,恒瑞医药,7.0564,6.6713,208.1101,-10162.1222,88.38,11.62
190,603041,美思德,7.3639,6.8228,196.0023,2789.2073,88.375,11.625
191,300672,国科微,6.5567,5.7484,431.3133,466.527,88.3734,11.6266
192,300076,GQY视讯,6.4084,6.0405,60.4807,1572.6849,88.2765,11.7235
193,300039,上海凯宝,7.5198,6.8694,208.2521,-2434.5863,88.2727,11.7273
194,300183,东软载波,6.8885,6.4367,410.2421,-730.4935,88.2452,11.7548
195,000996,中国中期,5.3901,4.8756,416.1698,-3541.3944,88.2345,11.7655
196,600838,上海九百,3.2692,3.053,276.9272,-4679.4376,88.2289,11.7711
197,300636,同和药业,6.8393,4.6604,37.7717,2862.7526,88.2072,11.7928
198,000007,全新好,3.7205,3.7182,17.0592,-9.8323,88.1971,11.8029
199,000613,大东海A,1.5634,1.5378,122.7747,-1047.3804,88.1884,11.8116
200,300690,双一科技,6.8746,6.187,59.0299,1990.4812,88.18700000000001,11.812999999999999
201,002621,三垒股份,5.9178,5.2587,56.0771,-4913.5528,88.1835,11.8165
202,300067,安诺其,4.9603,3.8062,185.0644,1778.7120000000002,88.1802,11.8198
203,603806,福斯特,6.849,6.1235,51.2893,4847.917,88.1732,11.8268
204,300458,全志科技,7.8521,6.8837,509.8216,116.0518,88.1196,11.8804
205,603516,淳中科技,6.4112,5.3589,278.0009,12497.1385,88.1128,11.8872
206,600171,上海贝岭,6.1228,5.6585,461.7059,-246.8535,88.1105,11.8895
207,002546,新联电子,7.4443,7.1149,46.2919,-2148.4697,88.0947,11.9053
208,603360,百傲化学,10.1632,9.0257,320.892,3246.1875,88.0784,11.9216
209,603040,新坐标,6.1358,5.5889999999999995,144.4831,-11751.7639,88.0773,11.9227
210,300595,欧普康视,7.4504,7.2685,157.5319,-13369.3864,88.0518,11.9482
211,002762,金发拉比,5.8687,4.4616,202.5848,-2198.5067,88.0433,11.9567
212,002409,雅克科技,3.2867,2.3617,81.9355,412.32800000000003,87.9991,12.0009
213,002843,泰嘉股份,5.3087,4.5395,65.553,-24232.5871,87.9975,12.0025
