,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
2785,300065,海兰信,-0.1895,-0.032,-1.1808,-0.2634,-36.693000000000005
2786,002663,普邦股份,-0.1903,-0.032,-2.853,-0.0937,-13.3201
2787,002278,神开股份,-0.1907,-0.0239,,-0.0842,-12.412
2788,000042,中洲控股,-0.1908,-0.0216,-31.1866,-0.0267,-4.5622
2789,600654,ST中安,-0.191,-0.0338,-1.0224,-0.0551,-8.4517
2790,603828,柯利达,-0.191,-0.0524,-4.768,-0.091,-9.1036
2791,002587,奥拓电子,-0.1911,-0.0465,-1.2143,-0.3234,-34.4875
2792,002433,太安堂,-0.1917,-0.0407,-2.9573,-0.1368,-29.5424
2793,600615,丰华股份,-0.1918,-0.0151,-1.1883,-0.064,-7.2956
2794,002849,威星智能,-0.1919,-0.0758,-1.7611,-0.1708,-17.562
2795,300416,苏试试验,-0.1922,-0.0509,-1.4137,-0.2195,-22.6818
2796,002202,金风科技,-0.1924,-0.0353,-1.3947,-0.0515,-9.2009
2797,300465,高伟达,-0.1943,-0.0846,-16.6043,-0.4302,-43.0248
2798,002554,惠博普,-0.1946,-0.0279,-1.3257,-0.0677,-7.1923
2799,300427,红相股份,-0.1948,-0.0411,-1.8075,-0.2814,-29.3882
2800,603712,七一二,-0.1956,-0.0338,-3.5979,-0.0587,-7.3697
2801,002375,亚厦股份,-0.1963,-0.0462,-4.8714,-0.0804,-8.884
2802,603557,起步股份,-0.1965,,-1.3156,,
2803,300737,科顺股份,-0.1966,-0.0895,-0.7583,-0.1766,-18.4448
2804,300337,银邦股份,-0.1974,-0.06,-64.8982,-0.1524,-16.7109
2805,600526,菲达环保,-0.1975,-0.0421,-11.9408,-0.0646,-6.7261
2806,002215,诺普信,-0.1976,-0.0895,-11.6757,-0.2347,-24.9484
2807,600215,长春经开,-0.1977,-0.0115,-1.4938,-0.0388,-4.5882
2808,300005,探路者,-0.198,-0.057999999999999996,-2.8531,-0.2643,-26.6977
2809,300451,创业软件,-0.1984,-0.0445,,-0.14800000000000002,-16.4072
2810,002307,北新路桥,-0.1986,-0.0247,-90.7488,-0.0306,-5.4319
2811,002248,华东数控,-0.1987,-0.0075,,-0.0128,-1.3356
2812,002445,中南文化,-0.1989,-0.0175,-1.8764,-0.0332,-4.3784
2813,600539,*ST狮头,-0.2008,-0.0119,,-0.0424,-4.2819
2814,000420,吉林化纤,-0.2016,-0.0258,-37.3421,-0.0629,-7.0915
2815,600769,祥龙电业,-0.2016,-0.0257,-0.9125,-0.05,-4.9996
2816,300422,博世科,-0.2018,-0.0414,-2.7947,-0.059000000000000004,-7.2988
2817,002785,万里石,-0.2023,-0.0642,-7.978,-0.1512,-15.3122
2818,300490,华自科技,-0.2024,-0.0491,-2.2413,-0.1219,-12.7794
2819,300265,通光线缆,-0.2031,-0.0636,-1.4059,-0.1618,-16.5007
2820,002397,梦洁股份,-0.2041,-0.0544,-2.0019,-0.1695,-17.6747
2821,000584,哈工智能,-0.2042,-0.0297,,-0.12300000000000001,-12.478
2822,002151,北斗星通,-0.2045,-0.0263,-9.9209,-0.1589,-19.5562
2823,300098,高新兴,-0.2062,-0.0287,-0.9597,-0.1525,-16.3669
2824,002379,宏创控股,-0.2065,-0.0401,-11.9932,-0.0896,-8.9635
2825,002623,亚玛顿,-0.207,-0.0473,-5.379,-0.1302,-15.0166
2826,300235,方直科技,-0.2078,-0.0256,-1.8476,-0.7163,-108.2857
2827,300287,飞利信,-0.20800000000000002,-0.0257,-1.2405,-0.1239,-13.2588
2828,300102,乾照光电,-0.20800000000000002,-0.0281,,-0.1013,-14.9776
2829,600722,金牛化工,-0.2085,-0.055999999999999994,-6.9915,-0.4349,-44.2186
2830,002506,协鑫集成,-0.2086,-0.0798,-7.3537,-0.1017,-12.2046
2831,600686,金龙汽车,-0.2088,-0.0866,-10.0661,-0.1121,-12.7133
2832,002306,*ST云网,-0.2088,-0.0796,,-0.0827,-8.2711
2833,002111,威海广泰,-0.2093,-0.0423,-1.4523,-0.1099,-11.6376
2834,002028,思源电气,-0.2105,-0.0595,-2.2407,-0.1884,-19.256
2835,000886,海南高速,-0.2108,-0.0067,-0.6447,-0.0373,-4.1982
2836,300627,华测导航,-0.2111,-0.0989,-1.9243,-0.2638,-36.5223
2837,600415,小商品城,-0.2112,-0.0354,-1.6214,-0.0582,-6.8144
2838,603778,乾景园林,-0.2115,-0.0269,-1.5093,-0.0717,-7.2161
2839,300167,迪威迅,-0.2125,-0.0204,,-0.0724,-7.5459
2840,300079,数码科技,-0.213,-0.0341,-1.2311,-0.2781,-29.3447
2841,300480,光力科技,-0.2136,-0.0261,-0.9198,-0.2407,-33.5949
2842,300297,蓝盾股份,-0.214,-0.0198,-1.4103,-0.0493,-6.8979
2843,600199,金种子酒,-0.2144,-0.0514,-14.6783,-0.1756,-20.8056
2844,603819,神力股份,-0.2147,-0.1115,-2.3617,-1.1713,-127.3214
2845,002743,富煌钢构,-0.2149,-0.051,-6.6282,-0.0633,-7.7179
2846,600797,浙大网新,-0.2152,-0.0809,-7.9136,-0.1699,-17.3144
