,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
2360,002347,泰尔股份,0.05,27.86,,0.85,,1031.22,27.82,10转10,08-20
2361,002668,奥马电器,1.03,30.38,,9.36,,17086.15,30.06,,08-20
2362,300104,乐视网,0.15,9.01,2.58,6.74,0.15,28438.39,11.64,,08-20
2363,300190,维尔利,0.13,0.0,6.71,2.59,-0.32,4639.24,1.84,,08-20
2364,600862,中航高科,0.01,-114.29,,0.49,,2061.2,-145.8,,08-20
2365,600129,太极集团,2.26,435.86,,72.62,,96442.98,435.83,,08-20
2366,000151,中成股份,0.18,-22.8,,5.58,,5444.18,-22.78,,08-20
2367,002255,海陆重工,0.05,-54.36,,1.26,,2863.5,-44.97,,08-20
2368,600222,太龙药业,0.0,0.0,,0.12,,182.32,-1.47,,08-20
2369,000513,丽珠集团,1.04,-8.77,,8.95,,40906.18,20.01,,08-20
2370,300350,华鹏飞,0.12,-33.33,5.9,1.98,0.47,3455.4,127.73,,08-20
2371,002068,黑猫股份,-0.09,-228.57,,-2.95,,-5711.09,-234.89,,08-20
2372,600448,华纺股份,0.01,-50.0,,0.71,,600.26,-37.19,,08-20
2373,600850,华东电脑,0.31,-4.92,,7.72,,13026.06,23.62,,08-20
2374,002485,希努尔,0.09,350.0,,1.38,,2727.43,421.94,,08-20
2375,002699,美盛文化,0.1,68.63,,3.84,,4537.39,71.65,,08-20
2376,600383,金地集团,0.17,41.67,,2.34,,77797.34,49.39,,08-20
2377,600401,*ST海润,0.01,18.42,,0.85,,4246.44,18.71,,08-20
2378,600426,华鲁恒升,0.39,-28.8,,6.43,,48999.46,-6.86,,08-20
2379,600499,科达洁能,0.38,-1.04,,6.4,,26939.04,0.01,,08-20
2380,300248,新开普,0.03,3344.44,2.66,1.14,-0.21,925.7,3536.32,,08-20
2381,000089,深圳机场,0.13,4.8,,2.55,,26429.8,22.11,,08-20
2382,600590,泰豪科技,0.05,66.67,,1.01,,3676.95,174.2,,08-20
2383,300312,邦讯技术,-0.08,-502.46,2.38,-3.35,-0.1,-2615.08,-905.49,,08-20
2384,000544,中原环保,0.22,57.14,,3.16,,12678.55,243.11,,08-20
2385,600308,华泰股份,0.06,22.0,,1.11,,7066.91,20.47,,08-20
2386,002222,福晶科技,0.08,-27.27,,5.23,,3322.95,7.73,,08-20
